target,feature,n_subjects,mean_subject_effect,median_subject_effect,subject_std,positive_fraction,negative_fraction,directional_consistency,subject_t_stat,subject_p_value,subject_p_fdr
remember,theta_alpha_occipital_ratio,22,0.04398869136715972,-0.002487789944161767,0.20508015893748793,0.5,0.5,0.5,1.0060712470260293,0.32583385103043083,0.942541218625936
remember,alpha_beta_occipital_ratio,22,-0.13547386388980096,0.0185793361157649,1.0423659194530321,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.6096023808667205,0.5486649356293657,0.942541218625936
remember,theta_alpha_temporal_ratio,22,0.01309926931025855,-0.005683186916459304,0.1734098844816814,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.3543109402249706,0.7266388453250395,0.942541218625936
remember,alpha_beta_temporal_ratio,22,0.26285891376250126,0.0818423007464939,0.9642826076093919,0.5909090909090909,0.4090909090909091,0.5909090909090909,1.2785853254973665,0.21499361588802776,0.942541218625936
remember,delta_frontoparietal_diff,22,-0.34296093743026723,-0.00022057409018347122,1.7157861910067564,0.45454545454545453,0.5454545454545454,0.5454545454545454,-0.9375465278589643,0.3591358718092883,0.942541218625936
remember,delta_frontoparietal_ratio,22,0.003890780856114919,0.0057714745638952625,0.09032735031158855,0.5,0.5,0.5,0.20203603651151722,0.8418329408183176,0.942541218625936
remember,theta_frontoparietal_diff,22,0.0686777484626519,0.003357673177861703,0.6261271871967492,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.5144756533901939,0.6122917311925207,0.942541218625936
remember,theta_frontoparietal_ratio,22,0.007720534430698076,0.007864882159188347,0.07862007223929308,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.46060141305628577,0.6498187909368781,0.942541218625936
remember,alpha_frontoparietal_diff,22,0.07655831798500602,8.974552948826765e-05,0.43189096981602715,0.5454545454545454,0.45454545454545453,0.5454545454545454,0.8314374838061738,0.41508086341573897,0.942541218625936
remember,alpha_frontoparietal_ratio,22,0.0008256869635276438,-0.004217689339467173,0.03713984122373121,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.10427656712587681,0.9179393825637093,0.942541218625936
remember,beta_frontoparietal_diff,22,-0.0016036589717724281,0.0005273669485691284,0.045142419108704125,0.5454545454545454,0.45454545454545453,0.5454545454545454,-0.16662437377294462,0.8692595490240473,0.942541218625936
remember,beta_frontoparietal_ratio,22,-0.007722436349080547,0.004772059336713208,0.16166047418032226,0.5909090909090909,0.4090909090909091,0.5909090909090909,-0.2240587090914872,0.8248771196572334,0.942541218625936
remember,gamma_frontoparietal_ratio,22,-0.05939819254933192,-0.02193121769004719,0.34354881530729614,0.4090909090909091,0.5909090909090909,0.5909090909090909,-0.8109538034331746,0.42648810153222083,0.942541218625936
correct,memory_cond,17,-0.8335010960245167,-0.9966329966329965,0.8844948381064651,0.17647058823529413,0.8235294117647058,0.8235294117647058,-3.8853963979420216,0.0013135732641738522,0.07356010279373573
correct,delta_abs,17,0.5334533489998894,0.3208353331271039,2.020097836588678,0.6470588235294118,0.35294117647058826,0.6470588235294118,1.0888009800457368,0.2923703333096309,0.7848264725604274
correct,theta_abs,17,0.24879518972826756,0.07846261927604103,1.1227688026909164,0.5882352941176471,0.4117647058823529,0.5882352941176471,0.9136420997240917,0.37446785940954397,0.8065461587282485
correct,alpha_abs,17,0.014681842341227736,-7.434887862938194e-05,0.5606179330770336,0.4117647058823529,0.5882352941176471,0.5882352941176471,0.10797868419815543,0.9153550811181421,0.9772986601329069
correct,beta_abs,17,0.0016911563292689978,0.004011580780324764,0.06446515427755521,0.5882352941176471,0.4117647058823529,0.5882352941176471,0.10816411211840748,0.9152103239587578,0.9772986601329069
correct,gamma_abs,17,-0.02499902980803976,-2.6870117378299414e-05,0.08975848553413582,0.4117647058823529,0.5882352941176471,0.5882352941176471,-1.1483442464870093,0.2677059725259757,0.7848264725604274
correct,delta_rel,17,-0.011944333435564995,-0.002627176362393624,0.046568698181638404,0.35294117647058826,0.6470588235294118,0.6470588235294118,-1.0575289906181888,0.30597636527869587,0.7848264725604274
correct,theta_rel,17,0.008665135958324506,0.003425791120166055,0.036865529058831684,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.9691240497184904,0.34690602249527436,0.8065461587282485
correct,alpha_rel,17,0.005487942560752941,0.006548109643421535,0.020003117214303996,0.6470588235294118,0.35294117647058826,0.6470588235294118,1.1311920338659254,0.27464513596657036,0.7848264725604274
correct,beta_rel,17,0.00018258314495389738,-0.00037309759028734263,0.01083609758773622,0.4117647058823529,0.5882352941176471,0.5882352941176471,0.06947238948404942,0.9454744791308751,0.9804920524320186
correct,gamma_rel,17,-0.002391328228466321,-0.0023443881553335474,0.006864585565128943,0.4117647058823529,0.5882352941176471,0.5882352941176471,-1.4363137844145437,0.17017770741384214,0.7848264725604274
correct,theta_alpha_ratio,17,0.09167906495808668,0.06800583562470353,0.29375214581156334,0.5882352941176471,0.4117647058823529,0.5882352941176471,1.28680751398676,0.21646815390219318,0.7848264725604274
correct,theta_beta_ratio,17,0.4193062340158871,0.43409937880193894,2.606012610431514,0.5882352941176471,0.4117647058823529,0.5882352941176471,0.6634058044873353,0.516515996442571,0.9039029937744991
correct,alpha_beta_ratio,17,0.07538591770132003,0.07234110508538727,1.4130772886071876,0.6470588235294118,0.35294117647058826,0.6470588235294118,0.21996256246749896,0.8286822157990609,0.9772986601329069
correct,delta_theta_ratio,17,-0.22556054230685418,0.024169024923774707,1.6277067774658245,0.5294117647058824,0.47058823529411764,0.5294117647058824,-0.5713620866964089,0.5756930915950104,0.907659851822996
correct,alpha_frontal,17,-0.046446729516743036,-0.04244350131970254,0.42362754289609933,0.35294117647058826,0.6470588235294118,0.6470588235294118,-0.45205930297358954,0.6572945823861062,0.9144985894062537
correct,beta_frontal,17,-0.0006756488108431227,-2.351941221250972e-05,0.12606988391990398,0.47058823529411764,0.5294117647058824,0.5294117647058824,-0.022097041151390658,0.9826437785795642,0.9874114463343323
correct,gamma_frontal,17,-0.0382303352813589,-0.0004739534566839676,0.16957381249083914,0.35294117647058826,0.6470588235294118,0.6470588235294118,-0.9295522000269688,0.36641599787603524,0.8065461587282485
correct,delta_central,17,-0.0016623277916662025,0.03820258074955285,0.4276654298445584,0.5294117647058824,0.47058823529411764,0.5294117647058824,-0.016026437002239522,0.9874114463343323,0.9874114463343323
correct,theta_central,17,0.18727745958072253,0.027489211531786406,0.9288514492635535,0.5882352941176471,0.4117647058823529,0.5882352941176471,0.831311344522181,0.4180317459733832,0.8109180284983672
correct,alpha_central,17,0.050338207165728587,0.01091435820058706,0.46862470073347967,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.44289117672131045,0.6637738640330207,0.9144985894062537
correct,beta_central,17,-0.010834622510192632,-1.4108315132214202e-05,0.03752416758088729,0.47058823529411764,0.5294117647058824,0.5294117647058824,-1.1904939110753932,0.2512162872839501,0.7848264725604274
correct,gamma_central,17,-0.021404958778887567,-0.0011073466460883724,0.0457796149062695,0.35294117647058826,0.6470588235294118,0.6470588235294118,-1.9278210648569478,0.07181991806057884,0.7848264725604274
correct,delta_parietal,17,0.30769511514331205,0.16885856643189356,0.8296674340658766,0.6470588235294118,0.35294117647058826,0.6470588235294118,1.5291180636140655,0.14576346670683654,0.7848264725604274
correct,theta_parietal,17,0.21435303318685967,0.06643266600542364,1.4685648560507947,0.6470588235294118,0.35294117647058826,0.6470588235294118,0.6018121660473545,0.55573167601363,0.907659851822996
correct,beta_parietal,17,0.013382281069847327,0.004740722691445931,0.052114996435189256,0.6470588235294118,0.35294117647058826,0.6470588235294118,1.058746275293377,0.3054382652740644,0.7848264725604274
correct,gamma_parietal,17,-0.006041837472968496,-0.0018232893334254596,0.02367450208728005,0.4117647058823529,0.5882352941176471,0.5882352941176471,-1.0522347621937262,0.3083246856487393,0.7848264725604274
correct,delta_occipital,17,1.0499585071390782,0.42638133289583946,3.17491797228763,0.6470588235294118,0.35294117647058826,0.6470588235294118,1.3635280864692723,0.19159494914796152,0.7848264725604274
