target,feature,mean_coefficient,std_coefficient,mean_abs_coefficient,std_abs_coefficient,mean_permutation_importance,std_permutation_importance,mean_permutation_importance_std,coefficient_sign_consistency,positive_fraction,negative_fraction,folds_available,stable_direction,mean_abs_permutation_importance,stability_score,scientific_ml_rank
correct,alpha_frontoparietal_diff,0.0932964567192938,0.06820017664686931,0.0932964567192938,0.06820017664686931,-0.0009122898486243546,0.00576826607686633,0.0029118653054692194,1.0,1.0,0.0,5,True,0.0009122898486243546,0.0009122898486243546,50
correct,gamma_frontoparietal_ratio,-0.02936088823228572,0.024774076430190358,0.02936088823228572,0.024774076430190358,0.0008222795449495602,0.0014023515741050001,0.0008743035196375761,1.0,0.0,1.0,5,True,0.0008222795449495602,0.0008222795449495602,51
correct,theta_central,-0.13506554564234896,0.12855898017850664,0.15221059760137176,0.1018366627566471,0.0009358804800918471,0.01216253927693216,0.00369936037856886,0.8,0.2,0.8,5,True,0.0009358804800918471,0.0007487043840734777,52
correct,delta_theta_ratio,-0.01281583617191884,0.026046969143503372,0.01707426584881038,0.022788999093852947,0.0006770245300001564,0.0015497375653865338,0.00038234760764054823,0.6,0.4,0.6,5,False,0.0006770245300001564,0.00040621471800009385,53
correct,delta_central,-0.24534285302302833,0.0985303750359411,0.24534285302302833,0.0985303750359411,-0.0002912588207354716,0.004017064455062606,0.005683000563566099,1.0,0.0,1.0,5,True,0.0002912588207354716,0.0002912588207354716,54
correct,alpha_beta_occipital_ratio,-0.016754567837730466,0.06185965653337655,0.04819257551490475,0.03569812484240538,0.0005874476720112865,0.001647228181072492,0.0014937873143075872,0.4,0.6,0.4,5,False,0.0005874476720112865,0.00023497906880451462,55
correct,alpha_frontoparietal_ratio,0.01256185306711331,0.029514154170859546,0.026557066141314933,0.013665221713467587,-0.00027647357115479605,0.002640071117156094,0.0008771770507907178,0.8,0.8,0.2,5,True,0.00027647357115479605,0.00022117885692383684,56
correct,delta_rel,-0.027517929772610555,0.02452050146177216,0.027517929772610555,0.02452050146177216,0.00019551157897310412,0.005215701989672864,0.001068801915416831,1.0,0.0,1.0,5,True,0.00019551157897310412,0.00019551157897310412,57
correct,alpha_occipital,-0.1346656487197943,0.07867816175564633,0.1346656487197943,0.07867816175564633,9.700184892685003e-05,0.005164264911085733,0.0033410263155361935,1.0,0.0,1.0,5,True,9.700184892685003e-05,9.700184892685003e-05,58
correct,delta_parietal,-0.21879696105775634,0.048409901168028346,0.21879696105775634,0.048409901168028346,5.497719989259083e-05,0.006137855064267608,0.005556182018847107,1.0,0.0,1.0,5,True,5.497719989259083e-05,5.497719989259083e-05,59
