subject,run,task_role,count
sub-008,3,ignored_correct,9
sub-008,3,ignored_incorrect,2
sub-008,3,indicate_ready,21
sub-008,3,probe_not_shown,10
sub-008,3,probe_target,15
sub-008,3,remembered_correct,11
sub-008,3,to_ignore,72
sub-008,3,to_remember,121
sub-008,3,work_memory,24
sub-008,4,feedback_correct,18
sub-008,4,feedback_incorrect,1
sub-008,4,fixate,23
sub-008,4,ignored_correct,13
sub-008,4,ignored_incorrect,1
sub-008,4,indicate_ready,22
sub-008,4,probe_not_shown,15
sub-008,4,probe_target,10
sub-008,4,remembered_correct,6
sub-008,4,remembered_incorrect,2
sub-008,4,to_ignore,71
sub-008,4,to_remember,114
sub-008,4,work_memory,23
sub-009,1,feedback_correct,22
sub-009,1,feedback_incorrect,1
sub-009,1,fixate,24
sub-009,1,ignored_correct,9
sub-009,1,ignored_incorrect,1
sub-009,1,indicate_ready,24
sub-009,1,probe_not_shown,10
sub-009,1,probe_target,12
sub-009,1,remembered_correct,13
sub-009,1,to_ignore,72
sub-009,1,to_remember,123
sub-009,1,work_memory,25
sub-009,2,feedback_correct,23
sub-009,2,feedback_incorrect,1
sub-009,2,fixate,22
sub-009,2,ignored_correct,11
sub-009,2,ignored_incorrect,1
sub-009,2,indicate_ready,22
sub-009,2,probe_not_shown,8
sub-009,2,probe_target,13
sub-009,2,remembered_correct,13
sub-009,2,to_ignore,70
sub-009,2,to_remember,120
sub-009,2,work_memory,24
sub-009,3,feedback_correct,22
sub-009,3,fixate,21
sub-009,3,ignored_correct,10
sub-009,3,indicate_ready,21
sub-009,3,probe_not_shown,10
sub-009,3,probe_target,12
sub-009,3,remembered_correct,12
sub-009,3,to_ignore,69
sub-009,3,to_remember,121
sub-009,3,work_memory,23
sub-009,4,feedback_correct,25
sub-009,4,fixate,25
sub-009,4,ignored_correct,15
sub-009,4,indicate_ready,25
sub-009,4,probe_not_shown,15
sub-009,4,probe_target,10
sub-009,4,remembered_correct,11
sub-009,4,to_ignore,75
sub-009,4,to_remember,125
sub-009,4,work_memory,25
sub-010,1,feedback_correct,12
sub-010,1,feedback_incorrect,1
sub-010,1,fixate,14
sub-010,1,ignored_correct,7
sub-010,1,ignored_incorrect,1
sub-010,1,indicate_ready,14
sub-010,1,probe_not_shown,7
sub-010,1,probe_target,12
sub-010,1,remembered_correct,11
sub-010,1,to_ignore,69
sub-010,1,to_remember,121
sub-010,1,work_memory,19
sub-010,2,feedback_correct,7
sub-010,2,feedback_incorrect,2
sub-010,2,fixate,8
sub-010,2,ignored_correct,4
sub-010,2,indicate_ready,9
sub-010,2,probe_not_shown,10
sub-010,2,probe_target,9
sub-010,2,remembered_correct,8
sub-010,2,remembered_incorrect,2
sub-010,2,to_ignore,60
sub-010,2,to_remember,105
sub-010,2,work_memory,25
sub-010,3,feedback_correct,10
sub-010,3,feedback_incorrect,2
sub-010,3,fixate,7
sub-010,3,ignored_correct,4
sub-010,3,indicate_ready,8
sub-010,3,probe_not_shown,6
sub-010,3,probe_target,9
sub-010,3,remembered_correct,3
sub-010,3,remembered_incorrect,1
sub-010,3,to_ignore,54
sub-010,3,to_remember,108
sub-010,3,work_memory,22
sub-010,4,feedback_correct,15
sub-010,4,fixate,5
sub-010,4,ignored_correct,6
sub-010,4,indicate_ready,7
sub-010,4,probe_not_shown,8
sub-010,4,probe_target,2
sub-010,4,remembered_correct,3
sub-010,4,to_ignore,60
sub-010,4,to_remember,97
sub-010,4,work_memory,22
sub-011,1,feedback_correct,25
sub-011,1,fixate,25
sub-011,1,ignored_correct,10
sub-011,1,indicate_ready,25
sub-011,1,probe_not_shown,10
sub-011,1,probe_target,15
sub-011,1,remembered_correct,15
sub-011,1,to_ignore,75
sub-011,1,to_remember,125
sub-011,1,work_memory,25
sub-011,2,feedback_correct,24
sub-011,2,feedback_incorrect,1
sub-011,2,fixate,25
