feature,remember_mean_0,remember_mean_1,remember_difference,remember_effect_size,correct_mean_0,correct_mean_1,correct_difference,correct_effect_size,abs_remember_effect,abs_correct_effect,remember_effect_magnitude,correct_effect_magnitude,subjects_with_remember_effect,subjects_with_correct_effect,remember_subject_mean,remember_subject_median,remember_subject_std,remember_positive_subject_fraction,correct_subject_mean,correct_subject_median,correct_subject_std,correct_positive_subject_fraction
delta_parietal,3.200947119862368,2.9758608215996496,-0.2250862982627182,-0.03726112779412623,3.772238194453728,3.040661491318321,-0.7315767031354068,-0.10641784333070572,0.03726112779412623,0.10641784333070572,negligible,negligible,22,17,0.0076680929570523085,-0.012786251901116926,0.1016395423390251,0.4090909090909091,0.04214589073807855,0.08169316210135281,0.12597000517329637,0.6470588235294118
gamma_central,0.05737159314612839,0.06288186827399256,0.005510275127864166,0.03586484726952741,0.05733326523826072,0.0605572873550719,0.003224022116811179,0.022880292343875386,0.03586484726952741,0.022880292343875386,negligible,negligible,22,17,0.014558284246406584,0.04278613028944675,0.15953061762230974,0.6363636363636364,-0.1854763733313305,-0.05668835286009883,0.43966631514756127,0.35294117647058826
delta_theta_ratio,3.0825114222828605,2.6613400544794645,-0.4211713678033959,-0.03502782690713313,3.909952877027022,2.795376200752407,-1.1145766762746154,-0.10945925699881974,0.03502782690713313,0.10945925699881974,negligible,negligible,22,17,-0.00018999032316374486,-0.01030914623883656,0.09218901528833623,0.4090909090909091,-0.05510645485745825,0.01197518688715584,0.22085011991782652,0.5294117647058824
beta_rel,0.06626881182984083,0.06773881410615472,0.0014700022763138865,0.03248105748628821,0.06854506474318528,0.06699765401691384,-0.0015474107262714448,-0.033560983545399374,0.03248105748628821,0.033560983545399374,negligible,negligible,22,17,0.010539033659969763,0.01681746603270969,0.07522371738077682,0.5454545454545454,0.004003613901954628,-0.011666428957133252,0.2898266178668849,0.4117647058823529
gamma_temporal,0.1855789786087692,0.19704913766575075,0.011470159056981538,0.031433353636695686,0.11352320116820798,0.19601990758759075,0.08249670641938277,0.2623199317454624,0.031433353636695686,0.2623199317454624,negligible,small,22,17,-0.056518179648669224,0.020270489901495013,0.3493310858182993,0.5909090909090909,-0.036800553285852154,-0.13850816812072977,0.3972402157267839,0.4117647058823529
delta_central,1.6560706411254236,1.5709950993848614,-0.0850755417405622,-0.03136934395779972,1.9520497915337742,1.5912508099177396,-0.36079898161603463,-0.11655186690301046,0.03136934395779972,0.11655186690301046,negligible,negligible,22,17,-0.002242849784410526,-0.005848634034798746,0.09683486801740107,0.45454545454545453,0.015947231485719943,0.053237904630791096,0.16680331335635187,0.5294117647058824
delta_abs,4.198083973147984,3.8620918423696278,-0.3359921307783562,-0.030516005524419264,5.385088971526914,3.9411313879280176,-1.443957583598896,-0.10673917777137655,0.030516005524419264,0.10673917777137655,negligible,negligible,22,17,0.007228722856415687,-0.003153138925826581,0.09827341105549015,0.5,0.05009983148226811,0.07519320609623689,0.14613656627174532,0.6470588235294118
beta_central,0.19978616064808805,0.20598637921669238,0.006200218568604338,0.030176719035283985,0.18801374286716538,0.20399155434476252,0.015977811477597137,0.08395451690123604,0.030176719035283985,0.08395451690123604,negligible,negligible,22,17,-0.00910836126020066,0.017305056347534147,0.14535744246445037,0.5909090909090909,-0.0872774610928391,-0.05736482820933742,0.3204597302611313,0.47058823529411764
gamma_abs,0.14206567587849137,0.14819820907852516,0.006132533200033791,0.02878144516886768,0.13312597891218053,0.1460820304806362,0.012956051568455668,0.048766695395311074,0.02878144516886768,0.048766695395311074,negligible,negligible,22,17,0.025495370910866677,0.02763605827506173,0.14602662106128275,0.5909090909090909,-0.05686524273293525,-0.06859252809515771,0.44249560190226883,0.4117647058823529
alpha_beta_occipital_ratio,8.898274175576917,8.597104807596136,-0.30116936798078164,-0.02592084955432202,7.870757976968185,8.77865311202578,0.9078951350575943,0.08368715745891094,0.02592084955432202,0.08368715745891094,negligible,negligible,22,17,-0.010147514905164056,0.007525945246101337,0.10964828682303267,0.5454545454545454,-0.03671384250847401,0.024509535491978842,0.24743665578040505,0.5294117647058824
