target,feature,mean_difference,cohen_d,abs_cohen_d,p_fdr,fdr_significant,effect_magnitude_final,final_evidence_class,final_priority_score_v1,direction,ml_mean_abs_permutation_importance,ml_mean_sign_consistency,ml_mean_stability_score,ml_best_rank,remember_abs_effect,correct_abs_effect,cross_target_pattern,direction_relationship,significance_pattern,evidence_statistical_effect,evidence_fdr_significance,evidence_direction_consistency,evidence_ml_stability,evidence_ml_importance,evidence_cross_target,final_scientific_evidence_score,final_evidence_class_v2,final_scientific_rank_v2,global_feature_rank_v2,n_subjects,direction_consistency,positive_fraction,negative_fraction,median_effect,mean_effect,std_effect,median_abs_effect,nonzero_subject_fraction,robustness_class,publication_robustness_score,publication_robustness_class
correct,theta_frontoparietal_ratio,-0.095871240909116,-0.1436826853394754,0.1436826853394754,0.0001240276747523,True,negligible,significant_but_weak,4.0,negative,0.0015131245254845,1.0,0.0015131245254845,40,0.0131054124356159,0.095871240909116,target_dissociated,opposite_direction,significant_correct_only,0.6374411234199365,1.0,0.0,1.0,0.0869932639954159,0.25,0.5930596072545259,moderate_multilayer_evidence,18,28,17,0.5294117647058824,0.47058823529411764,0.5294117647058824,-0.0184003772783559,-0.03877004880421776,0.13190086478865548,0.0792145283813026,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,alpha_central,0.2913718051586234,0.1548613622822838,0.1548613622822838,4.1929927970589225e-08,True,negligible,significant_but_weak,4.0,positive,0.0035680824954707,0.8,0.0025574536670894,25,0.0777916514710383,0.2913718051586234,target_dissociated,opposite_direction,significant_both_targets,0.6873029442071066,1.0,0.0,0.8,0.2389020003124607,0.25,0.5807159360830227,moderate_multilayer_evidence,21,11,17,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.0177681990916285,0.04246795987509471,0.18782245235358683,0.1108186858766239,1.0,weak_directional_robustness,3.0,scientifically_interesting
correct,delta_abs,-1.443957583598896,-0.1317639434412088,0.1317639434412088,0.0058778508834395,True,negligible,significant_but_weak,4.0,negative,0.0138638985118335,0.7,0.008431694564409,5,0.3359921307783562,1.443957583598896,target_shared,same_direction,significant_correct_only,0.584278287103942,1.0,0.0,0.7,1.0,1.0,0.6860695717759855,strong_multilayer_evidence,3,10,17,0.6470588235294118,0.6470588235294118,0.35294117647058826,0.0751932060962368,0.0500998314822681,0.1461365662717453,0.0998563645952274,1.0,weak_directional_robustness,2.0,scientifically_interesting
correct,delta_parietal,-0.7315767031354068,-0.1212282540480741,0.1212282540480741,0.0041829227699469,True,negligible,significant_but_weak,4.0,negative,0.0024990489715959,1.0,0.0024990489715959,14,0.2250862982627182,0.7315767031354068,target_shared,same_direction,significant_both_targets,0.5372844738756484,1.0,0.0,1.0,0.1598757943928029,1.0,0.6503086979081923,strong_multilayer_evidence,6,1,17,0.6470588235294118,0.6470588235294118,0.35294117647058826,0.0816931621013528,0.042145890738078534,0.12597000517329635,0.1089023698295829,1.0,weak_directional_robustness,2.0,scientifically_interesting
correct,beta_frontoparietal_diff,-0.0525472242842672,-0.1295457666058473,0.1295457666058473,0.0029946881408546,True,negligible,significant_but_weak,4.0,negative,0.0071649368344698,0.7,0.0049581179657687,8,0.0004816229401669,0.0525472242842672,weak_cross_target_pattern,same_direction,significant_correct_only,0.5743842418242633,1.0,0.0,0.7,0.5047924006681889,0.5,0.5840753005228848,moderate_multilayer_evidence,20,31,17,0.6470588235294118,0.35294117647058826,0.6470588235294118,-0.0650358100322439,-0.03944986095015843,0.35532536016005956,0.206131107118731,1.0,weak_directional_robustness,2.0,scientifically_interesting
remember,gamma_parietal,0.0067033358779924,0.0613886340082469,0.0613886340082469,6.381952089290735e-05,True,negligible,significant_but_weak,3.0,positive,0.0059840039699558,1.0,0.0059840039699558,9,0.0067033358779924,0.0135698623330476,weak_cross_target_pattern,same_direction,significant_both_targets,0.2703734229826596,1.0,0.0,1.0,0.4174942555266634,0.5,0.5593427812983313,moderate_multilayer_evidence,2,2,22,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.02026889488011765,0.018942058685776395,0.1359139147136409,0.05912006031971135,1.0,weak_directional_robustness,2.0,scientifically_interesting
remember,theta_abs,-0.1930376038406147,-0.0564929984650997,0.0564929984650997,0.0004393692914317,True,negligible,significant_but_weak,3.0,negative,0.0111490543470897,0.8,0.0074800511417824,4,0.1930376038406147,0.4228316544939132,target_dissociated,opposite_direction,significant_both_targets,0.2485367330648294,1.0,0.0,0.8,0.7993104713636985,0.25,0.5270652304025772,moderate_multilayer_evidence,7,6,22,0.5909090909090909,0.5909090909090909,0.4090909090909091,0.0321264622211444,-0.0029891438300134214,0.11225530506304145,0.04931136859863245,1.0,weak_directional_robustness,2.0,scientifically_interesting
remember,theta_parietal,-0.3370532596592301,-0.064341317636975,0.064341317636975,6.358390947165893e-05,True,negligible,significant_but_weak,3.0,negative,0.0104165949155947,0.7,0.0092124345005316,4,0.3370532596592301,0.6252947524007433,target_dissociated,opposite_direction,significant_both_targets,0.2835436919411491,1.0,0.0,0.7,0.7451648448997892,0.25,0.5104024074752662,moderate_multilayer_evidence,9,9,22,0.5909090909090909,0.5909090909090909,0.4090909090909091,0.0151709516428865,-0.010798479725520525,0.11772190287730198,0.05899556122816475,1.0,weak_directional_robustness,2.0,scientifically_interesting
correct,gamma_frontoparietal_ratio,-0.5796949672324905,-0.1110780447761194,0.1110780447761194,0.0020622242878812,True,negligible,significant_but_weak,4.0,negative,0.0009299386728895,0.9,0.0008261788928065,42,0.2465378010723733,0.5796949672324905,target_shared,same_direction,significant_both_targets,0.4920100717026728,1.0,0.0,0.9,0.0438823939924215,1.0,0.6073907573249103,strong_multilayer_evidence,15,5,17,0.5882352941176471,0.4117647058823529,0.5882352941176471,-0.1482127749572843,0.0009702615712471755,0.38680912890980945,0.2800940957499156,1.0,weak_directional_robustness,2.0,scientifically_interesting
correct,alpha_abs,0.2737862285941788,0.1011715846421198,0.1011715846421198,0.0029074766612216,True,negligible,significant_but_weak,4.0,positive,0.0080991555730645,1.0,0.0080991555730645,2,0.0458861984524665,0.2737862285941788,target_dissociated,opposite_direction,significant_correct_only,0.4478228980001078,1.0,0.0,1.0,0.5738526880786304,0.25,0.5943409933078901,moderate_multilayer_evidence,17,23,17,0.5882352941176471,0.4117647058823529,0.5882352941176471,-0.0314873277469293,0.003977169084874701,0.23583833064461296,0.1082246076455519,1.0,weak_directional_robustness,2.0,scientifically_interesting
