target,feature,p_value,p_fdr,effect_size,mean_difference,direction,n_subjects_x,direction_consistency_x,positive_fraction,negative_fraction,direction_consistency_y,n_subjects_y,fdr_significant,abs_effect_size,effect_magnitude,direction_final,robustness_class,scientific_priority_score,scientific_rank
correct,delta_temporal,0.1658996761992047,0.2160553922594293,-0.0329228639910991,-0.2506245280249448,negative,17.0,,0.6470588235294118,0.3529411764705882,0.6470588235294118,17,False,0.0329228639910991,negligible,negative,not_available,0.029630577591989192,46
correct,alpha_occipital,0.3829604093532675,0.4467871442454787,0.0299271492552854,0.3252131024252485,positive,17.0,,0.4117647058823529,0.5882352941176471,0.5882352941176471,17,False,0.0299271492552854,negligible,positive,not_available,0.02693443432975686,47
correct,gamma_frontal,0.6197868914981668,0.6941613184779467,-0.0266857335426586,-0.0095864648697016,negative,17.0,,0.3529411764705882,0.6470588235294118,0.6470588235294118,17,False,0.0266857335426586,negligible,negative,not_available,0.024017160188392738,48
correct,gamma_central,0.4041177145675652,0.4618488166486459,0.0205134634057944,0.0032240221168111,positive,17.0,,0.3529411764705882,0.6470588235294118,0.6470588235294118,17,False,0.0205134634057944,negligible,positive,not_available,0.018462117065214962,49
correct,delta_occipital,0.2524430963874046,0.314151408837659,0.0174660790826604,0.4761461561323274,positive,17.0,,0.6470588235294118,0.3529411764705882,0.6470588235294118,17,False,0.0174660790826604,negligible,positive,not_available,0.01571947117439436,50
correct,theta_alpha_frontal_ratio,0.6469435330429169,0.7103693696157518,-0.0139376584825778,-0.0279890214491596,negative,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,False,0.0139376584825778,negligible,negative,not_available,0.01254389263432002,51
correct,theta_alpha_ratio,0.7071266167373033,0.7615209718709419,0.0112119990113349,0.0160163635110861,positive,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,False,0.0112119990113349,negligible,positive,not_available,0.01009079911020141,52
correct,alpha_beta_temporal_ratio,0.8463230204581924,0.8906554669090857,-0.0064357181233943,-0.0317793366853029,negative,17.0,,0.5882352941176471,0.4117647058823529,0.5882352941176471,17,False,0.0064357181233943,negligible,negative,not_available,0.00579214631105487,53
correct,beta_frontal,0.8857713755598634,0.901876309660952,0.0057740734374395,0.0025680976926206,positive,17.0,,0.4705882352941176,0.5294117647058824,0.5294117647058824,17,False,0.0057740734374395,negligible,positive,not_available,0.0051966660936955495,54
correct,theta_alpha_temporal_ratio,0.858846343090904,0.8906554669090857,-0.0050391154361881,-0.0099048116899713,negative,17.0,,0.4117647058823529,0.5882352941176471,0.5882352941176471,17,False,0.0050391154361881,negligible,negative,not_available,0.00453520389256929,55
