subject,run,event_index,latency_samples,event_time_sec,event_type,memory_cond,task_role,letter,qc_status,qc_start_sec,qc_end_sec
sub-004,1,51,28181.9309938,112.723724,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]]",83.0,REVIEW,110.0,120.0
sub-004,1,52,28542.129241875,114.164517,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [100]
 [ 97]
 [115]
 [104]]",53.0,"[[119]
 [111]
 [114]
 [107]
 [ 95]
 [109]
 [101]
 [109]
 [111]
 [114]
 [121]]",45.0,REVIEW,110.0,120.0
sub-004,1,53,29351.000307725,117.400001,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[112]
 [114]
 [111]
 [ 98]
 [101]
 [ 95]
 [116]
 [ 97]
 [114]
 [103]
 [101]
 [116]]",82.0,REVIEW,110.0,120.0
sub-004,1,54,29648.123862575,118.588495,"[[114]
 [105]
 [103]
 [104]
 [116]
 [ 95]
 [ 99]
 [108]
 [105]
 [ 99]
 [107]]",53.0,"[[114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]
 [101]
 [100]
 [ 95]
 [ 99]
 [111]
 [114]
 [114]
 [101]
 [ 99]
 [116]]","[[110]
 [ 47]
 [ 97]]",REVIEW,110.0,120.0
sub-004,1,55,29748.19837585,118.988794,"[[115]
 [111]
 [117]
 [110]
 [100]
 [ 95]
 [ 98]
 [101]
 [101]
 [112]]",53.0,"[[102]
 [101]
 [101]
 [100]
 [ 98]
 [ 97]
 [ 99]
 [107]
 [ 95]
 [ 99]
 [111]
 [114]
 [114]
 [101]
 [ 99]
 [116]]","[[110]
 [ 47]
 [ 97]]",REVIEW,110.0,120.0
sub-004,1,56,31533.0396948,126.128159,"[[114]
 [105]
 [103]
 [104]
 [116]
 [ 95]
 [ 99]
 [108]
 [105]
 [ 99]
 [107]]",53.0,"[[105]
 [110]
 [100]
 [105]
 [ 99]
 [ 97]
 [116]
 [101]
 [ 95]
 [114]
 [101]
 [ 97]
 [100]
 [121]]","[[110]
 [ 47]
 [ 97]]",NORMAL,120.0,130.0
sub-004,1,57,31538.414668650003,126.149659,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [ 99]
 [114]
 [111]
 [115]
 [115]]",53.0,"[[102]
 [105]
 [120]
 [ 97]
 [116]
 [101]]",43.0,NORMAL,120.0,130.0
sub-004,1,58,32849.958289625,131.395833,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [105]
 [103]
 [110]
 [111]
 [114]
 [101]]",90.0,NORMAL,130.0,140.0
sub-004,1,59,33210.406536475,132.837626,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]]",84.0,NORMAL,130.0,140.0
sub-004,1,60,33570.579784675,134.278319,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]]",77.0,NORMAL,130.0,140.0
