target,feature,n_subjects,mean_subject_effect,median_subject_effect,std_subject_effect,q25_subject_effect,q75_subject_effect,positive_subjects,negative_subjects,zero_subjects,positive_fraction,negative_fraction,median_direction,direction_consistency
remember,beta_central,22,0.0005672663579465347,0.0013347369410702248,0.01779583910935802,-0.005420649377989535,0.008002886054751947,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,delta_parietal,22,-0.03648133875743818,-0.022446558275980986,0.9055858952682475,-0.10939384802685637,0.19626109083048116,9,13,0,0.4090909090909091,0.5909090909090909,negative,mixed_weak
remember,theta_parietal,22,-0.15905213892166245,0.014105213415095408,0.6108936790502786,-0.06532650707145171,0.06690985790244708,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,beta_occipital,22,-0.0032808393563212813,0.0009854192505118903,0.04272623297620434,-0.010304811194814426,0.020081691229969986,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,gamma_occipital,22,0.0005713873224386789,0.00048347092199946983,0.012595076993041956,-0.0029219801131296977,0.004985192826930926,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,delta_temporal,22,-0.16970500320705725,0.021154437663815584,0.6494184796728919,-0.038231926861724164,0.08886582602003368,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,beta_temporal,22,-0.013306370969603791,0.00281046803065102,0.09916063797531814,-0.000767401044649757,0.010248807840399499,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,gamma_temporal,22,-0.010394362531110292,0.0018653112387652382,0.08045166863277278,-0.00200600742657292,0.01130509496303961,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,theta_alpha_central_ratio,22,0.04063410852143858,0.002158221476715627,0.1541091957772125,-0.04020797236285034,0.07478065097076109,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,alpha_beta_parietal_ratio,22,-0.10235748007323336,-0.06647515856063291,0.6699024886957585,-0.4052933639474532,0.3605870882664266,9,13,0,0.4090909090909091,0.5909090909090909,negative,mixed_weak
remember,alpha_beta_temporal_ratio,22,0.26285891376250126,0.0818423007464939,0.9642826076093919,-0.12743917659896398,0.2324103971974586,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,beta_frontoparietal_ratio,22,-0.007722436349080547,0.004772059336713208,0.16166047418032226,-0.050430994946194144,0.041372409475996796,13,9,0,0.5909090909090909,0.4090909090909091,positive,mixed_weak
remember,gamma_frontoparietal_ratio,22,-0.05939819254933192,-0.02193121769004719,0.34354881530729614,-0.258735150273626,0.10900436736961457,9,13,0,0.4090909090909091,0.5909090909090909,negative,mixed_weak
remember,beta_abs,22,0.0033768333886120758,0.001498547084319037,0.0223994297206871,-0.004995108582748334,0.0173903438214347,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,delta_rel,22,0.0023955403353733973,0.0014318181473285674,0.016979282499009363,-0.005009646504639864,0.009703744568703779,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,theta_rel,22,-0.0022813723680282986,-0.0006478284998784334,0.013413187154486044,-0.0060883762829819985,0.00536483062521817,10,12,0,0.45454545454545453,0.5454545454545454,negative,unstable
remember,alpha_rel,22,-0.0003021229807786559,0.00023685140221911538,0.013169414988378484,-0.005332982958648931,0.006296539581377714,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,beta_rel,22,0.00012084581722567834,0.0006731855484742762,0.002411742497214234,-0.0009889405440888857,0.0015363629959391709,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,gamma_rel,22,6.710919620790612e-05,0.0002891513407010152,0.0015627930240605101,-0.0010639536971934075,0.0010267200531400402,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
